Item;Category;Price;City;Region;Country
Bananas;Produce; 0.33;Aalestrup;Nordjylland;Denmark
Lite drink mix (Crystal Lite);Beverages; 1.89;Wellington;Wellington;New Zealand
Baking soda;Baking; 0.39;Crooks;South Dakota;United States
Spoon size shredded wheat;Cereal; 1.69;Blountsville;Alabama;United States
Cucumber (large);Produce; 0.49;Victoria Falls;Matabeleland North;Zimbabwe
Orange juice, not from concentrate;Dairy; 1.99;Marthaville;Louisiana;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Wallops Island;Virginia;United States
Baking soda;Baking; 0.39;New York;New York;United States
Texas cheese toast;Frozen; 1.49;Moscow;Moskva;Russia
Beef/bean burrito;Frozen; 0.29;Fengjie;Sichuan;China
Pudding mix, choc/vanilla;Baking; 0.29;Paris;Ile-De-France;France
Sweetener packets;Baking; 1.49;Jacksonville;Alabama;United States
Peppers, green only;Produce; 1.39;Las Vegas;Nevada;United States
Milk, 2%;Dairy; 2.69;Finlayson;Minnesota;United States
Spoon size shredded wheat;Cereal; 1.69;Athens;Attiki;Greece
L'Oven Fresh white bread;Baked goods; 0.59;Wellington;Wellington;New Zealand
Cat litter, scoopable;Nonfoods; 2.99;Mill Creek;Oklahoma;United States
Rye bread, seeded;Baked goods; 0.99;Eau Galle;Wisconsin;United States
Baking soda;Baking; 0.39;Blountsville;Alabama;United States
Saltines;Snack; 0.69;Glendale;Arizona;United States
Potatoes, Russett;Produce; 0.89;Douglas City;California;United States
L'Oven Fresh white bread;Baked goods; 0.59;Hechi;Guangxi;China
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Cat litter, scoopable;Nonfoods; 2.99;Meadowlands;Minnesota;United States
Bananas;Produce; 0.33;Santiago del Estero;Santiago del Estero;Argentina
Milk, 2%;Dairy; 2.69;Venlo;Limburg;Netherlands
Bananas;Produce; 0.33;Jacksonville;Alabama;United States
Potatoes, Russett;Produce; 0.89;Warsaw;Mazowieckie;Poland
Cheese, Colby brick;Dairy; 1.49;Prudence Island;Rhode Island;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Hawkinsville;Georgia;United States
Butter;Dairy; 1.99;Lone Pine;California;United States
Vegetarian vegetable condensed soup;Canned; 0.43;London;Ontario;Canada
Mushrooms;Produce; 0.99;Stirling;Scotland;United Kingdom
Bananas;Produce; 0.33;Plymouth;Tobago;Trinidad and Tobago
Beef/bean burrito;Frozen; 0.29;Malone;New York;United States
Snack crackers (ritz);Snack; 1.29;Eau Galle;Wisconsin;United States
Texas cheese toast;Frozen; 1.49;Holguin;Holguin;Cuba
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Cushing;Texas;United States
Deluxe topping pizza;Frozen; 1.99;Cogswell;North Dakota;United States
Wheat crackers (triscuit);Snack; 0.99;Barcelona;CataluÒa;Spain
Peppers, green only;Produce; 1.39;Finlayson;Minnesota;United States
Tissues;Nonfoods; 0.89;Chicago;Illinois;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Sofia;Sofiya;Bulgaria
Applesauce cups (reg/cinnamon);Canned; 0.89;Sliema;Malta;Malta
Cheese, Colby brick;Dairy; 1.49;Cairo;Illinois;United States
Tyson roasted chicken;Meat; 3.99;Amsterdam;Ohio;United States
Beef/bean burrito;Frozen; 0.29;Herbster;Wisconsin;United States
Spoon size shredded wheat;Cereal; 1.69;Victoria Falls;Matabeleland North;Zimbabwe
Tissues;Nonfoods; 0.89;Paris;Ile-De-France;France
Wheat crackers (triscuit);Snack; 0.99;Sliema;Malta;Malta
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Bangkok;Krung Thep Mahanakhon;Thailand
Cucumber (large);Produce; 0.49;Djerba;Madanin;Tunisia
Pudding mix, choc/vanilla;Baking; 0.29;Hamburg;Hamburg;Germany
Rye bread, seeded;Baked goods; 0.99;St Andrews;Scotland;United Kingdom
L'Oven Fresh white bread;Baked goods; 0.59;Tornillo;Texas;United States
Pudding mix, choc/vanilla;Baking; 0.29;Port Elizabeth;New Jersey;United States
Larado paper plates;Nonfoods; 0.89;Barcelona;CataluÒa;Spain
Bananas;Produce; 0.33;Shanghai;Shanghai;China
Spoon size shredded wheat;Cereal; 1.69;Aalestrup;Nordjylland;Denmark
Orange juice, not from concentrate;Dairy; 1.99;Roma;Texas;United States
Celery;Produce; 0.99;Montpellier;Languedoc-Roussillon;France
Peppers, green only;Produce; 1.39;Roma;Texas;United States
Lettuce, iceberg;Produce; 0.89;Cogswell;North Dakota;United States
Tissues;Nonfoods; 0.89;Desmet;Idaho;United States
Milk, 2%;Dairy; 2.69;Hamburg;Hamburg;Germany
Applesauce cups (reg/cinnamon);Canned; 0.89;Finlayson;Minnesota;United States
Milk, 2%;Dairy; 2.69;Wallops Island;Virginia;United States
Deluxe topping pizza;Frozen; 1.99;Hamburg;Hamburg;Germany
Larado paper plates;Nonfoods; 0.89;Greymouth;West Coast;New Zealand
Celery;Produce; 0.99;Glendale;Arizona;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Hamburg;Arkansas;United States
Texas cheese toast;Frozen; 1.49;Tornillo;Texas;United States
Deluxe topping pizza;Frozen; 1.99;Rogersville;Alabama;United States
Mushrooms;Produce; 0.99;Kyoto;Kyoto;Japan
L'Oven Fresh white bread;Baked goods; 0.59;Warsaw;Mazowieckie;Poland
Cinnamon Grahams;Snack; 0.99;Scarborough;Tobago;Trinidad and Tobago
Larado paper plates;Nonfoods; 0.89;Seven Rivers;Westmoreland;Jamaica
Vegetarian vegetable condensed soup;Canned; 0.43;Kyoto;Kyoto;Japan
Sausage, brown/serve;Frozen; 0.99;Hawkinsville;Georgia;United States
Butter;Dairy; 1.99;Santiago;Santiago;Dominican Republic
Orange juice, not from concentrate;Dairy; 1.99;Cologne;Nordrhein-Westfalen;Germany
Snack crackers (ritz);Snack; 1.29;Scarborough;Tobago;Trinidad and Tobago
Baking soda;Baking; 0.39;Jacksonville;Alabama;United States
Rye bread, seeded;Baked goods; 0.99;Athens;Attiki;Greece
Deluxe topping pizza;Frozen; 1.99;Mount Hope;Ohio;United States
Sweetener packets;Baking; 1.49;Lone Pine;California;United States
Peppers, green only;Produce; 1.39;Santa Fe;Tennessee;United States
Tissues;Nonfoods; 0.89;Roma;Texas;United States
Mushrooms;Produce; 0.99;West Long Branch;New Jersey;United States
Sausage, brown/serve;Frozen; 0.99;Cologne;Nordrhein-Westfalen;Germany
Lite drink mix (Crystal Lite);Beverages; 1.89;Sliema;Malta;Malta
Larado paper plates;Nonfoods; 0.89;La Rochelle;Poitou-Charentes;France
Saltines;Snack; 0.69;Tokyo;Tokyo;Japan
Baking soda;Baking; 0.39;Stirling;Scotland;United Kingdom
Belmont chocolate chip cookies;Snack; 1.49;Cushing;Texas;United States
Celery;Produce; 0.99;Santiago;Santiago;Dominican Republic
Cookies, chocolate sandwich (Oreo);Snack; 0.99;San Francisco;California;United States
Wheat crackers (triscuit);Snack; 0.99;Montpellier;Languedoc-Roussillon;France
Broccoli stir fry mixture;Frozen; 0.89;Barcelona;CataluÒa;Spain
Tissues;Nonfoods; 0.89;Haslev;Vestsjalland;Denmark
Saltines;Snack; 0.69;Tornillo;Texas;United States
Spoon size shredded wheat;Cereal; 1.69;Paris;Ile-De-France;France
Texas cheese toast;Frozen; 1.49;Crooks;South Dakota;United States
Potatoes, Russett;Produce; 0.89;Aalestrup;Nordjylland;Denmark
L'Oven Fresh white bread;Baked goods; 0.59;New York;New York;United States
Beef/bean burrito;Frozen; 0.29;Cologne;Nordrhein-Westfalen;Germany
Lettuce, iceberg;Produce; 0.89;Rogersville;Alabama;United States
Orange juice, not from concentrate;Dairy; 1.99;Shanghai;Shanghai;China
Single serve peach cups;Canned; 1.39;Vienna;Georgia;United States
Larado paper plates;Nonfoods; 0.89;New York;New York;United States
Tissues;Nonfoods; 0.89;Barcelona;CataluÒa;Spain
Spoon size shredded wheat;Cereal; 1.69;Jacksonville;Alabama;United States
Waffles;Frozen; 0.99;Eau Galle;Wisconsin;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Bluff City;Kansas;United States
L'Oven Fresh white bread;Baked goods; 0.59;San Francisco;California;United States
Broccoli stir fry mixture;Frozen; 0.89;Jose Leon Suarez;Buenos Aires;Argentina
Waffles;Frozen; 0.99;Bangkok;Krung Thep Mahanakhon;Thailand
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Scarborough;Tobago;Trinidad and Tobago
Potatoes, Russett;Produce; 0.89;Chicago;Illinois;United States
Broccoli stir fry mixture;Frozen; 0.89;Mount Hope;Ohio;United States
Butter;Dairy; 1.99;Molodesjnaja;Enderby Land;Antarctica
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Djerba;Madanin;Tunisia
Single serve peach cups;Canned; 1.39;Houston;Ohio;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Paris;Ile-De-France;France
Texas cheese toast;Frozen; 1.49;London;Ontario;Canada
Beef/bean burrito;Frozen; 0.29;Tokyo;Tokyo;Japan
Wheat crackers (triscuit);Snack; 0.99;Campeche;Campeche;Mexico
Larado paper plates;Nonfoods; 0.89;Haslev;Vestsjalland;Denmark
Cat litter, scoopable;Nonfoods; 2.99;Kent City;Michigan;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Tyson roasted chicken;Meat; 3.99;Jacksonville;Alabama;United States
Spoon size shredded wheat;Cereal; 1.69;Wellington;Wellington;New Zealand
Texas cheese toast;Frozen; 1.49;Santiago;Santiago;Dominican Republic
Sweetener packets;Baking; 1.49;Los Angeles;California;United States
Mushrooms;Produce; 0.99;Eau Galle;Wisconsin;United States
Peppers, green only;Produce; 1.39;Holguin;Holguin;Cuba
Peppers, green only;Produce; 1.39;Elizabeth;New Jersey;United States
L'Oven Fresh white bread;Baked goods; 0.59;Hechi;Guangxi;China
Cheese, Colby brick;Dairy; 1.49;Beijing;Beijing;China
Baking soda;Baking; 0.39;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Peppers, tricolor pack;Produce; 1.99;Port Elizabeth;New Jersey;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Cogswell;North Dakota;United States
Snack crackers (ritz);Snack; 1.29;Jose Leon Suarez;Buenos Aires;Argentina
Wheat crackers (triscuit);Snack; 0.99;Mill Creek;Oklahoma;United States
Snack crackers (ritz);Snack; 1.29;Crooks;South Dakota;United States
Spoon size shredded wheat;Cereal; 1.69;Kyoto;Kyoto;Japan
Sweetener packets;Baking; 1.49;Jose Leon Suarez;Buenos Aires;Argentina
Texas cheese toast;Frozen; 1.49;London;Ontario;Canada
Vegetarian vegetable condensed soup;Canned; 0.43;Roxborough;Tobago;Trinidad and Tobago
Orange juice, not from concentrate;Dairy; 1.99;Port Harcourt;Rivers;Nigeria
Baking soda;Baking; 0.39;Cologne;Nordrhein-Westfalen;Germany
Single serve peach cups;Canned; 1.39;Hechi;Guangxi;China
Peppers, green only;Produce; 1.39;Holguin;Holguin;Cuba
Single serve peach cups;Canned; 1.39;Los Angeles;California;United States
Snack crackers (ritz);Snack; 1.29;Scarborough;Tobago;Trinidad and Tobago
Lite drink mix (Crystal Lite);Beverages; 1.89;Port Harcourt;Rivers;Nigeria
Tyson roasted chicken;Meat; 3.99;Malone;New York;United States
Spoon size shredded wheat;Cereal; 1.69;Thousandsticks;Kentucky;United States
Orange juice, not from concentrate;Dairy; 1.99;Milano;Lombardia;Italy
Cat litter, scoopable;Nonfoods; 2.99;Seven Rivers;Westmoreland;Jamaica
Milk, 2%;Dairy; 2.69;Jerusalem;Yerushalayim  (Jerusalem);Israel
Rye bread, seeded;Baked goods; 0.99;Rogersville;Alabama;United States
Cucumber (large);Produce; 0.49;Port Harcourt;Rivers;Nigeria
Cheese, Colby brick;Dairy; 1.49;Davos;Graubunden;Switzerland
Baking soda;Baking; 0.39;Holguin;Holguin;Cuba
Applesauce cups (reg/cinnamon);Canned; 0.89;Greymouth;West Coast;New Zealand
Orange juice, not from concentrate;Dairy; 1.99;Blountsville;Alabama;United States
Larado paper plates;Nonfoods; 0.89;Venlo;Limburg;Netherlands
Orange juice, not from concentrate;Dairy; 1.99;Roxborough;Tobago;Trinidad and Tobago
L'Oven Fresh white bread;Baked goods; 0.59;Roma;Texas;United States
Rye bread, seeded;Baked goods; 0.99;Fengjie;Sichuan;China
Cucumber (large);Produce; 0.49;Herbster;Wisconsin;United States
Sweetener packets;Baking; 1.49;Milano;Lombardia;Italy
Belmont chocolate chip cookies;Snack; 1.49;Stirling;Scotland;United Kingdom
Applesauce cups (reg/cinnamon);Canned; 0.89;Mill Creek;Oklahoma;United States
Tissues;Nonfoods; 0.89;Montpellier;Languedoc-Roussillon;France
L'Oven Fresh white bread;Baked goods; 0.59;Hamburg;Arkansas;United States
Cheese, Colby brick;Dairy; 1.49;New York;New York;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Cairo;Illinois;United States
Snack crackers (ritz);Snack; 1.29;Paris;Ile-De-France;France
Rye bread, seeded;Baked goods; 0.99;Seven Rivers;Westmoreland;Jamaica
Spoon size shredded wheat;Cereal; 1.69;Rogersville;Alabama;United States
Cheese, Colby brick;Dairy; 1.49;Rogersville;Alabama;United States
Cucumber (large);Produce; 0.49;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Tyson roasted chicken;Meat; 3.99;Douglas City;California;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;London;Ontario;Canada
Vegetarian vegetable condensed soup;Canned; 0.43;Vienna;Georgia;United States
Spoon size shredded wheat;Cereal; 1.69;La Rochelle;Poitou-Charentes;France
Lite drink mix (Crystal Lite);Beverages; 1.89;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Single serve peach cups;Canned; 1.39;Montpellier;Languedoc-Roussillon;France
L'Oven Fresh white bread;Baked goods; 0.59;Warsaw;Mazowieckie;Poland
Baking soda;Baking; 0.39;Moscow;Moskva;Russia
Sausage, brown/serve;Frozen; 0.99;Malone;New York;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Herbster;Wisconsin;United States
Cucumber (large);Produce; 0.49;Malone;New York;United States
Single serve peach cups;Canned; 1.39;Kyoto;Kyoto;Japan
Bananas;Produce; 0.33;Amsterdam;Ohio;United States
Baking soda;Baking; 0.39;Jacksonville;Alabama;United States
Saltines;Snack; 0.69;Tornillo;Texas;United States
Celery;Produce; 0.99;Glendale;Arizona;United States
Larado paper plates;Nonfoods; 0.89;Borden;Indiana;United States
Potatoes, Russett;Produce; 0.89;Moscow;Moskva;Russia
Cheese, Colby brick;Dairy; 1.49;Greymouth;West Coast;New Zealand
Spoon size shredded wheat;Cereal; 1.69;Tokyo;Tokyo;Japan
Vegetarian vegetable condensed soup;Canned; 0.43;West Long Branch;New Jersey;United States
Tissues;Nonfoods; 0.89;Franklin Springs;New York;United States
Rye bread, seeded;Baked goods; 0.99;Santiago;Santiago;Dominican Republic
Sausage, brown/serve;Frozen; 0.99;Cushing;Texas;United States
Waffles;Frozen; 0.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Single serve fruit/gel bowls;Canned; 1.39;Paris;Ile-De-France;France
Cheese, Colby brick;Dairy; 1.49;Madrid;Distrito Capital;Colombia
Pudding mix, choc/vanilla;Baking; 0.29;Kent City;Michigan;United States
Cat litter, scoopable;Nonfoods; 2.99;Seven Rivers;Westmoreland;Jamaica
Saltines;Snack; 0.69;Wellington;Wellington;New Zealand
Cucumber (large);Produce; 0.49;Marthaville;Louisiana;United States
Sausage, brown/serve;Frozen; 0.99;Marthaville;Louisiana;United States
Butter;Dairy; 1.99;Byron;New York;United States
Spoon size shredded wheat;Cereal; 1.69;Paris;Ile-De-France;France
Milk, 2%;Dairy; 2.69;Venlo;Limburg;Netherlands
Baking soda;Baking; 0.39;Helsinki;Etela-Suomen Laani;Finland
Single serve peach cups;Canned; 1.39;Kyoto;Kyoto;Japan
Cucumber (large);Produce; 0.49;Port Elizabeth;New Jersey;United States
Baking soda;Baking; 0.39;Roxborough;Tobago;Trinidad and Tobago
Lite drink mix (Crystal Lite);Beverages; 1.89;Port Harcourt;Rivers;Nigeria
Deluxe topping pizza;Frozen; 1.99;Finlayson;Minnesota;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Cushing;Texas;United States
Larado paper plates;Nonfoods; 0.89;Montpellier;Languedoc-Roussillon;France
Orange juice, not from concentrate;Dairy; 1.99;Vest;Kentucky;United States
Baking soda;Baking; 0.39;Venlo;Limburg;Netherlands
Tissues;Nonfoods; 0.89;Trondheim;Sor-Trondelag;Norway
Butter;Dairy; 1.99;Jose Leon Suarez;Buenos Aires;Argentina
Rye bread, seeded;Baked goods; 0.99;Aalestrup;Nordjylland;Denmark
Celery;Produce; 0.99;New York;New York;United States
Rye bread, seeded;Baked goods; 0.99;Thelma;Kentucky;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;North Grafton;Massachusetts;United States
Baking soda;Baking; 0.39;Trondheim;Sor-Trondelag;Norway
Deluxe topping pizza;Frozen; 1.99;Prudence Island;Rhode Island;United States
Cat litter, scoopable;Nonfoods; 2.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Mushrooms;Produce; 0.99;Amsterdam;Ohio;United States
Belmont chocolate chip cookies;Snack; 1.49;Rogersville;Alabama;United States
Cat litter, scoopable;Nonfoods; 2.99;Sofia;Sofiya;Bulgaria
L'Oven Fresh white bread;Baked goods; 0.59;Warsaw;Mazowieckie;Poland
Snack crackers (ritz);Snack; 1.29;Montpellier;Languedoc-Roussillon;France
Single serve fruit/gel bowls;Canned; 1.39;Glendale;Arizona;United States
Butter;Dairy; 1.99;Hamburg;Hamburg;Germany
Orange juice, not from concentrate;Dairy; 1.99;San Francisco;California;United States
Celery;Produce; 0.99;Moscow;Moskva;Russia
Belmont chocolate chip cookies;Snack; 1.49;Franklin Springs;New York;United States
Celery;Produce; 0.99;Seven Rivers;Westmoreland;Jamaica
Vegetarian vegetable condensed soup;Canned; 0.43;West Long Branch;New Jersey;United States
Tissues;Nonfoods; 0.89;Prudence Island;Rhode Island;United States
Tyson roasted chicken;Meat; 3.99;Ormond Beach;Florida;United States
Mushrooms;Produce; 0.99;Cogswell;North Dakota;United States
Bananas;Produce; 0.33;Mount Hope;Ohio;United States
Rye bread, seeded;Baked goods; 0.99;Hamburg;Hamburg;Germany
Broccoli stir fry mixture;Frozen; 0.89;Borden;Indiana;United States
Cat litter, scoopable;Nonfoods; 2.99;Cologne;Nordrhein-Westfalen;Germany
Eggs, large;Dairy; 0.89;Roma;Texas;United States
Wheat crackers (triscuit);Snack; 0.99;Borden;Indiana;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Trondheim;Sor-Trondelag;Norway
Rye bread, seeded;Baked goods; 0.99;Beaverton;Michigan;United States
Orange juice, not from concentrate;Dairy; 1.99;Santa Fe;Tennessee;United States
Larado paper plates;Nonfoods; 0.89;Port Harcourt;Rivers;Nigeria
Beef/bean burrito;Frozen; 0.29;Cushing;Texas;United States
Deluxe topping pizza;Frozen; 1.99;Hamburg;Arkansas;United States
Cinnamon Grahams;Snack; 0.99;Plymouth;Tobago;Trinidad and Tobago
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;North Grafton;Massachusetts;United States
Eggs, large;Dairy; 0.89;Mill Creek;Oklahoma;United States
Rye bread, seeded;Baked goods; 0.99;Elizabeth;New Jersey;United States
Wheat crackers (triscuit);Snack; 0.99;Davos;Graubunden;Switzerland
Spoon size shredded wheat;Cereal; 1.69;Warsaw;Mazowieckie;Poland
Belmont chocolate chip cookies;Snack; 1.49;Kyoto;Kyoto;Japan
Larado paper plates;Nonfoods; 0.89;Plymouth;Tobago;Trinidad and Tobago
Cinnamon Grahams;Snack; 0.99;Eau Galle;Wisconsin;United States
Tissues;Nonfoods; 0.89;Malone;New York;United States
Snack crackers (ritz);Snack; 1.29;Shanghai;Shanghai;China
Spoon size shredded wheat;Cereal; 1.69;Molodesjnaja;Enderby Land;Antarctica
Cheese, Colby brick;Dairy; 1.49;Houston;Ohio;United States
Eggs, large;Dairy; 0.89;Cogswell;North Dakota;United States
Potatoes, Russett;Produce; 0.89;Jose Leon Suarez;Buenos Aires;Argentina
Cheese, Colby brick;Dairy; 1.49;Chicago;Illinois;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Moscow;Moskva;Russia
Single serve fruit/gel bowls;Canned; 1.39;Moscow;Moskva;Russia
Cinnamon Grahams;Snack; 0.99;Crooks;South Dakota;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Las Vegas;Nevada;United States
Deluxe topping pizza;Frozen; 1.99;Las Vegas;Nevada;United States
Pudding mix, choc/vanilla;Baking; 0.29;Djerba;Madanin;Tunisia
Orange juice, not from concentrate;Dairy; 1.99;Vienna;Georgia;United States
Cheese, Colby brick;Dairy; 1.49;Hamburg;Arkansas;United States
Cinnamon Grahams;Snack; 0.99;North Grafton;Massachusetts;United States
Mushrooms;Produce; 0.99;Greymouth;West Coast;New Zealand
Sausage, brown/serve;Frozen; 0.99;Jacksonville;Alabama;United States
Tyson roasted chicken;Meat; 3.99;Mount Hope;Ohio;United States
Butter;Dairy; 1.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Byron;New York;United States
Butter;Dairy; 1.99;Hamburg;Arkansas;United States
Sweetener packets;Baking; 1.49;Kent City;Michigan;United States
Cinnamon Grahams;Snack; 0.99;Jose Leon Suarez;Buenos Aires;Argentina
Applesauce cups (reg/cinnamon);Canned; 0.89;Paris;Arkansas;United States
Broccoli stir fry mixture;Frozen; 0.89;Mount Hope;Ohio;United States
Belmont chocolate chip cookies;Snack; 1.49;Trondheim;Sor-Trondelag;Norway
Tyson roasted chicken;Meat; 3.99;Cattaraugus;New York;United States
Snack crackers (ritz);Snack; 1.29;Thelma;Kentucky;United States
Cinnamon Grahams;Snack; 0.99;Franklin Springs;New York;United States
Pudding mix, choc/vanilla;Baking; 0.29;Sofia;Sofiya;Bulgaria
Cat litter, scoopable;Nonfoods; 2.99;London;Ontario;Canada
Broccoli stir fry mixture;Frozen; 0.89;Moscow;Moskva;Russia
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Douglas City;California;United States
Mushrooms;Produce; 0.99;Houston;Ohio;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Beaverton;Michigan;United States
Cucumber (large);Produce; 0.49;Santiago del Estero;Santiago del Estero;Argentina
Baking soda;Baking; 0.39;Madrid;Distrito Capital;Colombia
Tissues;Nonfoods; 0.89;Santiago del Estero;Santiago del Estero;Argentina
Tyson roasted chicken;Meat; 3.99;Cattaraugus;New York;United States
Peppers, green only;Produce; 1.39;Barcelona;CataluÒa;Spain
Lite drink mix (Crystal Lite);Beverages; 1.89;North Grafton;Massachusetts;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;St Andrews;Scotland;United Kingdom
Deluxe topping pizza;Frozen; 1.99;Scarborough;Tobago;Trinidad and Tobago
Texas cheese toast;Frozen; 1.49;Bluff City;Kansas;United States
Sweetener packets;Baking; 1.49;Port Harcourt;Rivers;Nigeria
Single serve peach cups;Canned; 1.39;Lone Pine;California;United States
Celery;Produce; 0.99;Las Vegas;Nevada;United States
Sweetener packets;Baking; 1.49;Graysville;Tennessee;United States
Tissues;Nonfoods; 0.89;Seven Rivers;Westmoreland;Jamaica
Milk, 2%;Dairy; 2.69;Tokyo;Tokyo;Japan
Eggs, large;Dairy; 0.89;San Francisco;California;United States
Belmont chocolate chip cookies;Snack; 1.49;Davos;Graubunden;Switzerland
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Gafsa;Qafsah;Tunisia
Deluxe topping pizza;Frozen; 1.99;Moscow;Moskva;Russia
Rye bread, seeded;Baked goods; 0.99;Davos;Graubunden;Switzerland
Peppers, green only;Produce; 1.39;Graysville;Tennessee;United States
Eggs, large;Dairy; 0.89;Marthaville;Louisiana;United States
Waffles;Frozen; 0.99;Bluff City;Kansas;United States
Cheese, Colby brick;Dairy; 1.49;Trondheim;Sor-Trondelag;Norway
Bananas;Produce; 0.33;Stirling;Scotland;United Kingdom
Cinnamon Grahams;Snack; 0.99;Aalestrup;Nordjylland;Denmark
Lettuce, iceberg;Produce; 0.89;Barcelona;CataluÒa;Spain
Tissues;Nonfoods; 0.89;Montpellier;Languedoc-Roussillon;France
Larado paper plates;Nonfoods; 0.89;Hawkinsville;Georgia;United States
Baking soda;Baking; 0.39;Mill Creek;Oklahoma;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;La Rochelle;Poitou-Charentes;France
Belmont chocolate chip cookies;Snack; 1.49;Lone Pine;California;United States
Lettuce, iceberg;Produce; 0.89;Greymouth;West Coast;New Zealand
Peppers, tricolor pack;Produce; 1.99;Houston;Ohio;United States
Pudding mix, choc/vanilla;Baking; 0.29;Moscow;Moskva;Russia
Sweetener packets;Baking; 1.49;Amsterdam;Ohio;United States
Tyson roasted chicken;Meat; 3.99;Port Harcourt;Rivers;Nigeria
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Roma;Texas;United States
Rye bread, seeded;Baked goods; 0.99;Jacksonville;Alabama;United States
Cucumber (large);Produce; 0.49;Borden;Indiana;United States
Tissues;Nonfoods; 0.89;Finlayson;Minnesota;United States
Broccoli stir fry mixture;Frozen; 0.89;Athens;Attiki;Greece
Rye bread, seeded;Baked goods; 0.99;Tokyo;Tokyo;Japan
Wheat crackers (triscuit);Snack; 0.99;Barcelona;CataluÒa;Spain
Tissues;Nonfoods; 0.89;Finlayson;Minnesota;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Shanghai;Shanghai;China
Belmont chocolate chip cookies;Snack; 1.49;Prudence Island;Rhode Island;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Seven Rivers;Westmoreland;Jamaica
Sausage, brown/serve;Frozen; 0.99;London;Ontario;Canada
Saltines;Snack; 0.69;Montpellier;Languedoc-Roussillon;France
Cucumber (large);Produce; 0.49;Milano;Lombardia;Italy
Spoon size shredded wheat;Cereal; 1.69;Franklin Springs;New York;United States
Milk, 2%;Dairy; 2.69;Tornillo;Texas;United States
Spoon size shredded wheat;Cereal; 1.69;Venlo;Limburg;Netherlands
Cat litter, scoopable;Nonfoods; 2.99;Seven Rivers;Westmoreland;Jamaica
Cinnamon Grahams;Snack; 0.99;Marthaville;Louisiana;United States
Single serve peach cups;Canned; 1.39;Campeche;Campeche;Mexico
Peppers, green only;Produce; 1.39;Bangkok;Krung Thep Mahanakhon;Thailand
Bananas;Produce; 0.33;Rogersville;Alabama;United States
Potatoes, Russett;Produce; 0.89;Roma;Texas;United States
Cat litter, scoopable;Nonfoods; 2.99;San Francisco;California;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Amsterdam;Ohio;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Sliema;Malta;Malta
Milk, 2%;Dairy; 2.69;Roma;Texas;United States
Single serve fruit/gel bowls;Canned; 1.39;Helsinki;Etela-Suomen Laani;Finland
Pudding mix, choc/vanilla;Baking; 0.29;Tokyo;Tokyo;Japan
Bananas;Produce; 0.33;Elizabeth;New Jersey;United States
Peppers, green only;Produce; 1.39;Desmet;Idaho;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Vienna;Georgia;United States
